"bank_name","holding_group","belgian_website_url"
"Argenta","Argenta Group / Argenta Bank- en Verzekeringsgroep","https://www.argenta.be"
"BNP Paribas Fortis","BNP Paribas Group","https://www.bnpparibasfortis.be"
"BankB","Datex NV","https://www.bankb.be"
"Banque CPH","Groupe CPH","https://www.cph.be"
"Banque Triodos","Triodos Bank N.V.","https://www.triodos.be"
"Banque Van Breda","FinAx / Delen Private Bank / Ackermans & van Haaren","https://www.bankvanbreda.be"
"Belfius","Belgian Federal State / SFPI-FPIM","https://www.belfius.be"
"Beobank","Crédit Mutuel Alliance Fédérale","https://www.beobank.be"
"CBC Banque","KBC Group","https://www.cbc.be"
"Crelan","Crelan Group","https://www.crelan.be"
"Europabank","Crelan Group","https://www.europabank.be"
"Fintro","BNP Paribas Fortis / BNP Paribas Group","https://www.fintro.be"
"ING Belgique","ING Group","https://www.ing.be"
"KBC Banque","KBC Group","https://www.kbc.be"
"KBC Brussels","KBC Group","https://www.kbcbrussels.be"
"Keytrade Bank","Crédit Mutuel Arkéa","https://www.keytradebank.be"
"MeDirect","CREDITAS Group / MDB Group","https://www.medirect.be"
"NIBC","NIBC Bank N.V. / Blackstone funds","https://www.nibc.be"
"Nagelmackers","Caisse d’Epargne Hauts de France / Groupe BPCE","https://www.nagelmackers.be"
"Santander Consumer Bank","Banco Santander Group","https://www.santanderconsumerbank.be"
"UniCredit SA","UniCredit Group","https://unicredit.be"
"vdk bank","vdk bank NV","https://www.vdk.be"
"bunq","bunq B.V.","https://www.bunq.com/personal-account/banking-features/savings-account-be"
"Fideuram Direct","Intesa Sanpaolo Group","https://fideuramdirect.be/en/"
"Izola Bank","Izola Bank p.l.c.","https://be.izolabank.com/be-en/personal-banking/savings"
"N26","N26 SE","https://n26.com/en-be"
"Revolut Bank UAB - Belgian Branch","Revolut Group","https://www.revolut.com/en-BE/"
"Trade Republic","Trade Republic Bank GmbH","https://traderepublic.com/en-be"